"","taxa","ITS.Copies"
"281","Blastobotrys_peoriensis",1
"282","Blastobotrys_proliferans",1
"283","Blastobotrys_raffinosifermentans",1
"284","Blastobotrys_serpentis",1
"285","Blastomyces_dermatitidis",9
"286","Blastomyces_emzantsi",1
"287","Blastomyces_gilchristii",5
"289","Blastomyces_percursus",1
"290","Blastomyces_silverae",1
"292","Blumeriella_jaapii",5
"293","Blyttiomyces_helicus",9
"294","Boletus_bicolor",2
"295","Boletus_edulis",34
"296","Boletus_reticuloceps",1
"297","Boletus_speciosus",1
"298","Bondarzewia_mesenterica",1
"299","Botryobasidium_botryosum",1
"300","Botryosphaeria_dothidea",3
"301","Botryosphaeria_kuwatsukai",1
"302","Botryotinia_calthae",1
"303","Botryotinia_convoluta",1
"305","Botryotinia_narcissicola",1
"306","Botryozyma_nematodophila",12
"307","Botrytis_aclada",4
"308","Botrytis_byssoidea",8
"309","Botrytis_cinerea",1
"310","Botrytis_deweyae",4
"311","Botrytis_elliptica",7
"312","Botrytis_fabae",1
"313","Botrytis_fragariae",1
"314","Botrytis_galanthina",1
"315","Botrytis_hyacinthi",1
"316","Botrytis_medusae",5
"317","Botrytis_paeoniae",1
"318","Botrytis_porri",4
"319","Botrytis_pseudocinerea",3
"320","Botrytis_sinoallii",7
"321","Botrytis_squamosa",5
"322","Botrytis_tulipae",1
"323","Brettanomyces_anomalus",1
"324","Brettanomyces_bruxellensis",3
"325","Brettanomyces_custersianus",9
"326","Brettanomyces_naardenensis",2
"327","Brettanomyces_nanus",7
"328","Bretziella_fagacearum",1
"330","Butyriboletus_roseoflavus",97
"333","Cadophora_malorum",1
"334","Cairneyella_variabilis",1
"335","Calcarisporium_arbuscula",2
"338","Calocera_viscosa",1
"342","Calonectria_aciculata",2
"343","Calonectria_crousiana",2
"344","Calonectria_fujianensis",2
"345","Calonectria_henricotiae",1
"346","Calonectria_honghensis",2
"347","Calonectria_hongkongensis",1
"348","Calonectria_ilicicola",1
"349","Calonectria_leucothoes",1
"350","Calonectria_naviculata",1
"351","Calonectria_pauciramosa",1
"352","Calonectria_pseudonaviculata",1
"354","Calonectria_pseudoturangicola",1
"355","Candida_aaseri",1
"356","Candida_albicans",1
"358","Candida_ascalaphidarum",1
"359","Candida_auris",5
"360","Candida_blattae",1
"361","Candida_boidinii",1
"363","Candida_californica",1
"364","Candida_castellii",1
"365","Candida_chilensis",1
"366","Candida_corydali",1
"367","Candida_dubliniensis",1
"368","Candida_duobushaemulonis",5
"369","Candida_ethanolica",1
"370","Candida_fragi",1
"371","Candida_freyschussii",1
"372","Candida_glabrata",10
"373","Candida_golubevii",1
"374","Candida_gorgasii",1
"375","Candida_haemuloni",1
"376","Candida_hawaiiana",1
"377","Candida_heveicola",1
"378","Candida_hispaniensis",2
"379","Candida_incommunis",2
"380","Candida_inconspicua",1
"381","Candida_intermedia",5
"382","Candida_ipomoeae",1
"384","Candida_mesenterica",1
"385","Candida_metapsilosis",14
"386","Candida_montana",1
"387","Candida_mycetangii",1
"388","Candida_nivariensis",4
"389","Candida_orba",1
"390","Candida_oregonensis",1
"391","Candida_orthopsilosis",4
"392","Candida_parapsilosis",11
"393","Candida_ponderosae",1
"394","Candida_pseudohaemulonii",1
"395","Candida_psychrophila",1
"396","Candida_restingae",1
"397","Candida_rhagii",1
"398","Candida_sake",14
"399","Candida_schatavii",1
"400","Candida_silvatica",1
"401","Candida_sojae",3
"403","Candida_stellimalicola",1
"404","Candida_subhashii",1
"405","Candida_succiphila",1
"406","Candida_tammaniensis",1
"407","Candida_theae",5
"408","Candida_tropicalis",5
"409","Candida_vartiovaarae",5
"410","Candida_viswanathii",12
"411","Candida_wancherniae",1
"412","Candolleomyces_aberdarensis",1
"414","Cantharellus_appalachiensis",1
"416","Cantharellus_cinnabarinus",2
"417","Cantharellus_lutescens",4
"418","Capniomyces_stellatus",1
